,Unnamed: 0,Unnamed: 0.1,id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,text
0,0,0,1082976063507103745,2019-01-09 12:23:08,0,JasonGroves1,9513,Westminster,"I'm told Tory chief whip Julian Smith had a 'stand-up row' with Bercow just now, accusing him of 'ripping up' Commo…"
1,1,1,1082976062420774913,2019-01-09 12:23:08,0,MaryContraryMMK,364,London / Texas,Big fat Brexit pimple coming to a head. A wild animal is at its most vicious when its cornered.
2,2,2,1082976062408196096,2019-01-09 12:23:08,5,samwshenton,2575,"Aberystwyth, Wales","RT @PickardJE: May runs through all of Corbyn’s shifting stances on Brexit over the years, suggesting: “His Brexit policies are the many no…"
3,3,3,1082976062252961792,2019-01-09 12:23:08,0,tanyamccamphill,2846,Mostly London,".@IanBlackfordMP “...the Prime Minister is frozen in failure, asking MPs to write a blank cheque for her blindfold…"
4,4,4,1082976061460283392,2019-01-09 12:23:08,89,philsquidgharri,1505,,RT @DCBMEP: I’ve heard it all now. Bizarre @BBCr4today item claims wine makers will go out of business due to Brexit &amp; are stockholding New…
5,5,5,1082976060667502592,2019-01-09 12:23:08,1,grabcocque,21,,"RT @pmdfoster: Where the DUP gives the Govt's new reassurance document both barrels. @NigelDoddsDUP ""cosmetic and meaningless"" #brexit…"
6,6,6,1082976059174371329,2019-01-09 12:23:07,208,Moppetford,598,Surrey Green Belt,"RT @guyverhofstadt: After the mess of #Brexit, the far-right won't campaign to leave the EU, they want to destroy it from within instead. T…"
7,7,7,1082976059111415808,2019-01-09 12:23:07,537,dogrob,1179,Somerset,"RT @WalkerWorcester: Welcome news that the Netherlands is the latest EU country, along with Italy, France, Spain and others to confirm they…"
8,8,8,1082976059031805952,2019-01-09 12:23:07,120,davidmo98345733,190,,RT @DontBluffMe77: Can I press charges against all the people who have called me an: 🇬🇧#AltRight 🇬🇧#Nazi 🇬🇧#Facist 🇬🇧#Islamophobe 🇬🇧#Xeno…
9,9,9,1082976058578616325,2019-01-09 12:23:07,25,caravaggio12,3304,South West England,"RT @gavreilly: Despite advice that it's not within parliamentary rules, House of Commons speaker John Bercow will allow MPs to vote on an a…"
10,10,10,1082976058432016385,2019-01-09 12:23:07,0,cllr_hudson,235,,Wetherspoon boss Tim Martin to visit The Cricketers in Ipswich to push no deal Brexit | Latest Suffolk and Essex Ne…
11,11,11,1082976058230693888,2019-01-09 12:23:07,28,PrettyHatMech,1167,"Wales, United Kingdom","RT @DavidLammy: Desperate stuff from @theresa_may at #PMQs who says ""The only way to avoid no deal is to vote for the deal"". As she has adm…"
12,12,12,1082976056791814144,2019-01-09 12:23:07,0,AbuAhmedFX,4573,💷,Forex - Sterling Under Pressure as Brexit Vote Looms
13,13,13,1082976055994904576,2019-01-09 12:23:07,1,BobsSeeds,4099,Canada,"RT @4PawShop: As Brexit debate begins, Theresa May fails to win over Northern Irish kingmakers"
14,14,14,1082976055298789376,2019-01-09 12:23:06,1,DamonMercy,2935,Beside the sea,RT @gazhay: May refers Blackford to her previous no answer on the brexit deal. #pathetic #pmqs #maymustgo
15,15,15,1082976055282020352,2019-01-09 12:23:06,0,DavidPenn1,2297,London,If Brexit was a brand...
16,16,16,1082976055080697856,2019-01-09 12:23:06,115,English_YL,854,England,RT @peoplesvote_uk: WATCH: One thing everyone can agree on is that the Gov's Brexit deal would be a disaster for Britain. This deal is not…
17,17,17,1082976054158020608,2019-01-09 12:23:06,59,b_l_mackinnon,61,"Glasgow, Scotland","RT @PoliticsSense: What's happened to our country for Dummies. After 40 years arguing about Brexit, MPs ask the people to settle the issue…"
18,18,18,1082976053931528193,2019-01-09 12:23:06,24,WeezybenDarling,108,"Birmingham, England","RT @Sathnam: Simultaneously intensely confused, wildly enraged, intently transfixed and bored shitless by Brexit"
19,19,19,1082976053801467905,2019-01-09 12:23:06,11,GTakesOnPolRisk,65,"Johannesburg, South Africa","RT @POLITICOEurope: The World Bank says a no-deal #Brexit ""is a risk to the UK and to Europe and any region that trades heavily with them.…"
20,20,20,1082976052115329029,2019-01-09 12:23:06,34,Stevie66bankie,2143,"Clydebank, Scotland",RT @StewartMcDonald: Ministers discuss prospect of the break-up of the UK in the event of a no-deal Brexit |
21,21,21,1082976049028313088,2019-01-09 12:23:05,1,PatrickAndrews,1965,Bristol,"RT @ticketyboo67: #PMQs the maybot is in total denial that her brexit plan is a total shit show, and just resorts to exposing corbyns lack…"
22,22,22,1082976047312850946,2019-01-09 12:23:05,1,DailyMirror,1057352,"London, UK",RT @MirrorPolitics: Theresa May faces three-day deadline to come up with a Brexit 'plan B'
23,23,23,1082976043097604097,2019-01-09 12:23:04,0,Jack_Leader18,1,UK,So some people are still saying ‘but we voted to leave’-the choice at the moment is deal or no deal.... in other wo…
24,24,24,1082976040341946371,2019-01-09 12:23:03,0,cleveradviserjo,251,"North West, England",Bid to limit tax powers if no-deal Brexit #brexit
25,25,25,1082976040316588032,2019-01-09 12:23:03,116,horiguchikesazo,1015,,RT @10DowningStreet: The Brexit deal explained👇 #BackTheBrexitDeal
26,26,26,1082976039746322432,2019-01-09 12:23:03,183,NiaSinjorina,1898,"St Bees, Cumbria, UK, European Union, Planet Earth!",RT @Anna_Soubry: Really hope Govt accepts this amendment. It’s not just abt Parliament taking control of #Brexit but also us working x par…
27,27,27,1082976038433538048,2019-01-09 12:23:02,0,christhegoth,652,Croydon Borders & Bromley,#Labour grassroots step up anti-#Brexit pressure on #Corbyn: So... If #Brexit goes throug…
28,28,28,1082976037112332289,2019-01-09 12:23:02,56,cia262,1566,Leeds,RT @montie: Listening to this now. No Brexit voting MP yet AGAIN. It’s call public service broadcasting apparently
29,29,29,1082976034285387776,2019-01-09 12:23:01,3,garside66,2204,IsleofHarris,"RT @woodgnomology: Theresa May: ""The only way to avoid no-deal is to vote for the deal."" Not true. She can opt to unilaterally revoke Arti…"
30,30,30,1082976031999438848,2019-01-09 12:23:01,3,Alexblx,2586,,RT @TheHirstComment: They really do want to steal Brexit: Rebel MPs ‘sabotage’ bid to prepare for a no-deal | Politics | News |
31,31,31,1082976031743578113,2019-01-09 12:23:01,0,Stuart_WellsUK,127,UK,“Companies from the UK aerospace industry are urging MPs to approve the Brexit withdrawal agreement negotiated betw…
32,32,32,1082976031655510017,2019-01-09 12:23:01,4,PoliticalYeti,3595,The Foothills of Westminster,"RT @patrick_kidd: Not a bad closing joke from May on Corbyn’s inconsistencies: “His Brexit policies are the many, not the few.” But their e…"
33,33,33,1082976031491932164,2019-01-09 12:23:01,0,KayJohnsonGee,3296,"Manchester, England",British business leaders to launch emergency no-deal Brexit interventions if May's deal is defeated -
34,34,34,1082976030216863744,2019-01-09 12:23:00,326,SouthernFail5,75,"London, England",RT @PolhomeEditor: BREAKING: MPs vote 303 to 296 in favour of Yvette Cooper's amendment to the Finance Bill. Another blow for the PM and sh…
35,35,35,1082976026903355393,2019-01-09 12:23:00,827,gsytots,1193,Guernsey,"RT @PrinceBraith9th: MB NEWS: Following on from my earlier video of suspected #YellowVestUK undercover police officer, here's another video…"
36,36,36,1082976026538532864,2019-01-09 12:23:00,3,MadeInBedlam,891,On tour. No sleep ‘til Valhall,"RT @KenAidel: With literally nothing to offer, only hate, division, #antisemitism and incompetence, Corbyn and Labour trying to seize gover…"
37,37,37,1082976026156826625,2019-01-09 12:23:00,18,LibertyHall1916,109,,"RT @BBCPolitics: SNP's Drew Hendry accuses PM of ""xenophobic"" campaign to encourage EU nationals to register to stay in the UK after #Brexi…"
38,38,38,1082976025716367361,2019-01-09 12:22:59,1,CarolC35237810,99,"Leeds, England",RT @NicDakinMP: PM just said @jeremycorbyn #Brexit Plan is for the many not the few. I agree that's why we need to see @UKLabour plan for…
39,39,39,1082976025649262592,2019-01-09 12:22:59,332,Gordoncraig12c,135,,"RT @PolhomeEditor: This is usually overlooked in London, but Labour's Brexit stance is killing the party in Scotland."
40,40,40,1082976025418567680,2019-01-09 12:22:59,32,Paul62NW3,66,,RT @Daily_Express: EU BOMBSHELL: How the bloc imposed the HIGHEST electricity and gas bills on Britain
41,41,41,1082976024114139136,2019-01-09 12:22:59,0,Michael58739848,69,,@GerardAraud @AgnesCPoirier this is where we get our Brexit confidence from the EU isnt on there once
42,42,42,1082976022964912129,2019-01-09 12:22:59,102,EuroManc,4385,"Manchester, Europe",RT @EveryCountry: Barclays poised to move a quarter of a TRILLION Euros in ASSETS out of London and over to Dublin thanks to #Brexit. Stil…
43,43,43,1082976020163117056,2019-01-09 12:22:58,285,HWinckelmann,3700,"London, Europe","RT @Andrew_Adonis: ‘Mrs May is behaving as if she is at Dunkirk. But this time the boats aren’t coming. For as throughout Brexit, the defea…"
